Key_Field,Source_Key,Policy_Date,Policy_Year,Policy_Month,Policy_Quarter,Domicile_Country,PolicyHolder_name,Country_Origin,Product_Descr,Branch,Country_Office,Broker,Filter1,Filter2,Filter3,Filter4,Filter5,Filter6,Industry,LOB,Big_Policy_Ind,Source,Cross_Product,SUB_LOB1,SUB_LOB2,PremiumAmount,LossAmount,Loss_Cnt,Loss_Cntgt0,Loss_Cntgt1000,LossRatio,Linkage1,Linkage2,Linkage3
30,Name30Source3,1/30/2011,2011,1,Q1,IRE,Name30,IRE,PRODUCT24,BRANCH3,SGP,BROKER5,No,B,No,No,Yes,Yes,Industry30,LOB6,No,Source3,P2,,L4,3000,0,0,0,0,0,1,1,0
31,Name31Source1,1/31/2011,2011,1,Q1,SPN,Name31,SPN,,BRANCH1,USA,BROKER6,Yes,A,Yes,Yes,Yes,No,Industry31,LOB1,Yes,Source1,P3,,,3100,0,0,0,0,0,1,1,0
32,Name32Source2,2/1/2011,2011,2,Q1,ITA,Name32,ITA,PRODUCT25,BRANCH2,GB,BROKER7,No,B,Yes,No,No,No,Industry32,LOB2,No,Source2,P4,,,3200,0,0,0,0,0,1,1,0
33,Name33Source3,2/2/2011,2011,2,Q1,GER,Name33,GER,PRODUCT26,BRANCH3,SGP,BROKER8,No,B,No,No,Yes,No,Industry33,LOB3,No,Source3,P5,,,3300,0,0,0,0,0,1,1,0
34,Name34Source1,2/3/2011,2011,2,Q1,AUS,Name34,AUS,PRODUCT27,BRANCH1,USA,BROKER9,Yes,A,Yes,No,Yes,No,Industry34,LOB4,Yes,Source1,P6,,,3400,0,0,0,0,0,1,1,0
35,Name35Source2,2/4/2011,2011,2,Q1,UAE,Name35,UAE,PRODUCT28,BRANCH2,GB,BROKER10,No,B,Yes,No,Yes,No,Industry35,LOB5,No,Source2,P7,,,3500,0,0,0,0,0,1,1,0
36,Name36Source3,2/5/2011,2011,2,Q1,SGP,Name36,SGP,,BRANCH3,SGP,BROKER11,No,B,No,Yes,No,Yes,Industry36,LOB6,No,Source3,P1,L3,,3600,800,1,1,0,0.222222222,1,1,0
37,Name37Source1,2/6/2011,2011,2,Q1,MEX,Name37,MEX,PRODUCT29,BRANCH1,USA,BROKER12,Yes,A,Yes,No,Yes,No,Industry37,LOB1,Yes,Source1,P2,,L4,3700,900,1,1,0,0.243243243,1,1,0
38,Name38Source2,2/7/2011,2011,2,Q1,CAN,Name38,CAN,PRODUCT30,BRANCH2,GB,BROKER13,No,B,Yes,No,Yes,No,Industry38,LOB2,No,Source2,P3,,,3800,1200,5,1,1,0.315789474,1,1,0
39,Name39Source3,2/8/2011,2011,2,Q1,FRA,Name39,FRA,PRODUCT31,BRANCH3,SGP,BROKER14,No,B,No,No,Yes,No,Industry39,LOB3,No,Source3,P4,,,3900,40000,10,1,1,10.25641026,1,1,0
40,Name40Source1,2/9/2011,2011,2,Q1,USA,Name40,USA,PRODUCT32,BRANCH1,USA,BROKER15,Yes,A,Yes,No,No,No,Industry40,LOB4,Yes,Source1,P5,,,4000,0,0,0,0,0,1,1,0
41,Name41Source2,2/10/2011,2011,2,Q1,GB,Name41,GB,,BRANCH2,GB,BROKER16,No,B,Yes,Yes,Yes,No,Industry41,LOB5,No,Source2,P6,,,4100,0,0,0,0,0,1,1,0
42,Name42Source3,2/11/2011,2011,2,Q1,CHN,Name42,CHN,PRODUCT33,BRANCH3,SGP,BROKER17,No,B,No,No,Yes,Yes,Industry42,LOB6,No,Source3,P7,,,4200,0,0,0,0,0,1,1,0
43,Name43Source1,2/12/2011,2011,2,Q1,IRE,Name43,IRE,PRODUCT34,BRANCH1,USA,BROKER18,Yes,A,Yes,No,Yes,No,Industry43,LOB1,Yes,Source1,P1,L4,,4300,0,0,0,0,0,1,1,0
44,Name44Source2,2/13/2011,2011,2,Q1,SPN,Name44,SPN,PRODUCT35,BRANCH2,GB,BROKER19,No,B,Yes,No,No,No,Industry44,LOB2,No,Source2,P2,,L5,4400,0,0,0,0,0,1,1,0
45,Name45Source3,2/14/2011,2011,2,Q1,ITA,Name45,ITA,PRODUCT36,BRANCH3,SGP,BROKER20,No,B,No,No,Yes,No,Industry45,LOB3,No,Source3,P3,,,4500,0,0,0,0,0,1,1,0
46,Name46Source1,2/15/2011,2011,2,Q1,GER,Name46,GER,,BRANCH1,USA,BROKER21,Yes,A,Yes,Yes,Yes,No,Industry46,LOB4,Yes,Source1,P4,,,4600,0,0,0,0,0,1,1,0
47,Name47Source2,2/16/2011,2011,2,Q1,AUS,Name47,AUS,PRODUCT37,BRANCH2,GB,BROKER22,No,B,Yes,No,Yes,No,Industry47,LOB5,No,Source2,P5,,,4700,0,0,0,0,0,1,1,0
48,Name48Source3,2/17/2011,2011,2,Q1,UAE,Name48,UAE,PRODUCT38,BRANCH3,SGP,BROKER23,No,B,No,No,No,Yes,Industry48,LOB6,No,Source3,P6,,,4800,0,0,0,0,0,1,1,0
49,Name49Source1,2/18/2011,2011,2,Q1,SGP,Name49,SGP,PRODUCT39,BRANCH1,USA,BROKER24,Yes,A,Yes,No,Yes,No,Industry49,LOB1,Yes,Source1,P7,,,4900,800,1,1,0,0.163265306,1,1,0
50,Name50Source2,2/19/2011,2011,2,Q1,MEX,Name50,MEX,PRODUCT40,BRANCH2,GB,BROKER25,No,B,Yes,No,Yes,No,Industry50,LOB2,No,Source2,P1,L4,,5000,900,1,1,0,0.18,1,1,0
51,Name51Source3,2/20/2011,2011,2,Q1,CAN,Name51,CAN,,BRANCH3,SGP,BROKER1,No,B,No,Yes,Yes,No,Industry51,LOB3,No,Source3,P2,,L5,5100,1200,5,1,1,0.235294118,1,1,0
52,Name52Source1,2/21/2011,2011,2,Q1,FRA,Name52,FRA,PRODUCT41,BRANCH1,USA,BROKER2,Yes,A,Yes,No,No,No,Industry52,LOB4,Yes,Source1,P3,,,5200,40000,10,1,1,7.692307692,1,1,0
53,Name53Source2,2/22/2011,2011,2,Q1,USA,Name53,USA,PRODUCT42,BRANCH2,GB,BROKER3,No,B,Yes,No,Yes,No,Industry53,LOB5,No,Source2,P4,,,5300,0,0,0,0,0,1,1,0
54,Name54Source3,2/23/2011,2011,2,Q1,GB,Name54,GB,PRODUCT43,BRANCH3,SGP,BROKER4,No,B,No,No,Yes,Yes,Industry54,LOB6,No,Source3,P5,,,5400,0,0,0,0,0,1,1,0
55,Name55Source1,2/24/2011,2011,2,Q1,CHN,Name55,CHN,PRODUCT44,BRANCH1,USA,BROKER5,Yes,A,Yes,No,Yes,No,Industry55,LOB1,Yes,Source1,P6,,,5500,0,0,0,0,0,1,1,0
56,Name56Source2,2/25/2011,2011,2,Q1,IRE,Name56,IRE,,BRANCH2,GB,BROKER6,No,B,Yes,Yes,No,No,Industry56,LOB2,No,Source2,P7,,,5600,0,0,0,0,0,1,1,0
57,Name57Source3,2/26/2011,2011,2,Q1,SPN,Name57,SPN,PRODUCT45,BRANCH3,SGP,BROKER7,No,B,No,No,Yes,No,Industry57,LOB3,No,Source3,P1,L5,,5700,0,0,0,0,0,1,1,0
58,Name58Source1,2/27/2011,2011,2,Q1,ITA,Name58,ITA,PRODUCT46,BRANCH1,USA,BROKER8,Yes,A,Yes,No,Yes,No,Industry58,LOB4,Yes,Source1,P2,,L6,5800,0,0,0,0,0,1,1,0
59,Name59Source2,2/28/2011,2011,2,Q1,GER,Name59,GER,PRODUCT47,BRANCH2,GB,BROKER9,No,B,Yes,No,Yes,No,Industry59,LOB5,No,Source2,P3,,,5900,0,0,0,0,0,1,1,0
60,Name60Source3,3/1/2011,2011,3,Q1,AUS,Name60,AUS,PRODUCT48,BRANCH3,SGP,BROKER10,No,B,No,No,No,Yes,Industry60,LOB6,No,Source3,P4,,,6000,0,0,0,0,0,1,1,0
61,Name61Source1,3/2/2011,2011,3,Q1,UAE,Name61,UAE,,BRANCH1,USA,BROKER11,Yes,A,Yes,Yes,Yes,No,Industry61,LOB1,Yes,Source1,P5,,,6100,0,0,0,0,0,1,1,0
62,Name62Source2,3/3/2011,2011,3,Q1,SGP,Name62,SGP,PRODUCT49,BRANCH2,GB,BROKER12,No,B,Yes,No,Yes,No,Industry62,LOB2,No,Source2,P6,,,6200,800,1,1,0,0.129032258,1,1,0
63,Name63Source3,3/4/2011,2011,3,Q1,MEX,Name63,MEX,PRODUCT50,BRANCH3,SGP,BROKER13,No,B,No,No,Yes,No,Industry63,LOB3,No,Source3,P7,,,6300,900,1,1,0,0.142857143,1,1,0
64,Name64Source1,3/5/2011,2011,3,Q1,CAN,Name64,CAN,PRODUCT51,BRANCH1,USA,BROKER14,Yes,A,Yes,No,No,No,Industry64,LOB4,Yes,Source1,P1,L5,,6400,1200,5,1,1,0.1875,1,1,0
65,Name65Source2,3/6/2011,2011,3,Q1,FRA,Name65,FRA,PRODUCT52,BRANCH2,GB,BROKER15,No,B,Yes,No,Yes,No,Industry65,LOB5,No,Source2,P2,,L6,6500,40000,10,1,1,6.153846154,1,1,0
66,Name66Source3,3/7/2011,2011,3,Q1,USA,Name66,USA,,BRANCH3,SGP,BROKER16,No,B,No,Yes,Yes,Yes,Industry66,LOB6,No,Source3,P3,,,6600,0,0,0,0,0,1,1,0
67,Name67Source1,3/8/2011,2011,3,Q1,GB,Name67,GB,PRODUCT53,BRANCH1,USA,BROKER17,Yes,A,Yes,No,Yes,No,Industry67,LOB1,Yes,Source1,P4,,,6700,0,0,0,0,0,1,1,0
68,Name68Source2,3/9/2011,2011,3,Q1,CHN,Name68,CHN,PRODUCT54,BRANCH2,GB,BROKER18,No,B,Yes,No,No,No,Industry68,LOB2,No,Source2,P5,,,6800,0,0,0,0,0,1,1,0
69,Name69Source3,3/10/2011,2011,3,Q1,IRE,Name69,IRE,PRODUCT55,BRANCH3,SGP,BROKER19,No,B,No,No,Yes,No,Industry69,LOB3,No,Source3,P6,,,6900,0,0,0,0,0,1,1,0
70,Name70Source1,3/11/2011,2011,3,Q1,SPN,Name70,SPN,PRODUCT56,BRANCH1,USA,BROKER20,Yes,A,Yes,No,Yes,No,Industry70,LOB4,Yes,Source1,P7,,,7000,0,0,0,0,0,1,1,0
71,Name71Source2,3/12/2011,2011,3,Q1,ITA,Name71,ITA,,BRANCH2,GB,BROKER21,No,B,Yes,Yes,Yes,No,Industry71,LOB5,No,Source2,P1,L6,,7100,0,0,0,0,0,1,1,0
72,Name72Source3,3/13/2011,2011,3,Q1,GER,Name72,GER,PRODUCT57,BRANCH3,SGP,BROKER22,No,B,No,No,No,Yes,Industry72,LOB6,No,Source3,P2,,L7,7200,0,0,0,0,0,1,1,0
73,Name73Source1,3/14/2011,2011,3,Q1,AUS,Name73,AUS,PRODUCT58,BRANCH1,USA,BROKER23,Yes,A,Yes,No,Yes,No,Industry73,LOB1,Yes,Source1,P3,,,7300,0,0,0,0,0,1,1,0
74,Name74Source2,3/15/2011,2011,3,Q1,UAE,Name74,UAE,PRODUCT59,BRANCH2,GB,BROKER24,No,B,Yes,No,Yes,No,Industry74,LOB2,No,Source2,P4,,,7400,0,0,0,0,0,1,1,0
75,Name75Source3,3/16/2011,2011,3,Q1,SGP,Name75,SGP,PRODUCT60,BRANCH3,SGP,BROKER25,No,B,No,No,Yes,No,Industry75,LOB3,No,Source3,P5,,,7500,800,1,1,0,0.106666667,1,1,0
76,Name76Source1,3/17/2011,2011,3,Q1,MEX,Name76,MEX,,BRANCH1,USA,BROKER1,Yes,A,Yes,Yes,No,No,Industry76,LOB4,Yes,Source1,P6,,,7600,900,1,1,0,0.118421053,1,1,0
77,Name77Source2,3/18/2011,2011,3,Q1,CAN,Name77,CAN,PRODUCT61,BRANCH2,GB,BROKER2,No,B,Yes,No,Yes,No,Industry77,LOB5,No,Source2,P7,,,7700,1200,5,1,1,0.155844156,1,1,0
78,Name78Source3,3/19/2011,2011,3,Q1,FRA,Name78,FRA,PRODUCT62,BRANCH3,SGP,BROKER3,No,B,No,No,Yes,Yes,Industry78,LOB6,No,Source3,P1,L6,,7800,40000,10,1,1,5.128205128,1,1,0
79,Name79Source1,3/20/2011,2011,3,Q1,USA,Name79,USA,PRODUCT63,BRANCH1,USA,BROKER4,Yes,A,Yes,No,Yes,No,Industry79,LOB1,Yes,Source1,P2,,L7,7900,0,0,0,0,0,1,1,0
80,Name80Source2,3/21/2011,2011,3,Q1,GB,Name80,GB,PRODUCT64,BRANCH2,GB,BROKER5,No,B,Yes,No,No,No,Industry80,LOB2,No,Source2,P3,,,8000,0,0,0,0,0,1,1,0
81,Name81Source3,3/22/2011,2011,3,Q1,CHN,Name81,CHN,,BRANCH3,SGP,BROKER6,No,B,No,Yes,Yes,No,Industry81,LOB3,No,Source3,P4,,,8100,0,0,0,0,0,1,1,0
82,Name82Source1,3/23/2011,2011,3,Q1,IRE,Name82,IRE,PRODUCT65,BRANCH1,USA,BROKER7,Yes,A,Yes,No,Yes,No,Industry82,LOB4,Yes,Source1,P5,,,8200,0,0,0,0,0,1,1,0
83,Name83Source2,3/24/2011,2011,3,Q1,SPN,Name83,SPN,PRODUCT66,BRANCH2,GB,BROKER8,No,B,Yes,No,Yes,No,Industry83,LOB5,No,Source2,P6,,,8300,0,0,0,0,0,1,1,0
84,Name84Source3,3/25/2011,2011,3,Q1,ITA,Name84,ITA,PRODUCT67,BRANCH3,SGP,BROKER9,No,B,No,No,No,Yes,Industry84,LOB6,No,Source3,P7,,,8400,0,0,0,0,0,1,1,0
85,Name85Source1,3/26/2011,2011,3,Q1,GER,Name85,GER,PRODUCT68,BRANCH1,USA,BROKER10,Yes,A,Yes,No,Yes,No,Industry85,LOB1,Yes,Source1,P1,L7,,8500,0,0,0,0,0,1,1,0
86,Name86Source2,3/27/2011,2011,3,Q1,AUS,Name86,AUS,,BRANCH2,GB,BROKER11,No,B,Yes,Yes,Yes,No,Industry86,LOB2,No,Source2,P2,,L8,8600,0,0,0,0,0,1,1,0
87,Name87Source3,3/28/2011,2011,3,Q1,UAE,Name87,UAE,PRODUCT69,BRANCH3,SGP,BROKER12,No,B,No,No,Yes,No,Industry87,LOB3,No,Source3,P3,,,8700,0,0,0,0,0,1,1,0
88,Name88Source1,3/29/2011,2011,3,Q1,SGP,Name88,SGP,PRODUCT70,BRANCH1,USA,BROKER13,Yes,A,Yes,No,No,No,Industry88,LOB4,Yes,Source1,P4,,,8800,800,1,1,0,0.090909091,1,1,0
89,Name89Source2,3/30/2011,2011,3,Q1,MEX,Name89,MEX,PRODUCT71,BRANCH2,GB,BROKER14,No,B,Yes,No,Yes,No,Industry89,LOB5,No,Source2,P5,,,8900,900,1,1,0,0.101123596,1,1,0
90,Name90Source3,3/31/2011,2011,3,Q1,CAN,Name90,CAN,PRODUCT72,BRANCH3,SGP,BROKER15,No,B,No,No,Yes,Yes,Industry90,LOB6,No,Source3,P6,,,9000,1200,5,1,1,0.133333333,1,1,0
91,Name91Source1,4/1/2011,2011,4,Q2,FRA,Name91,FRA,,BRANCH1,USA,BROKER16,Yes,A,Yes,Yes,Yes,No,Industry91,LOB1,Yes,Source1,P7,,,9100,40000,10,1,1,4.395604396,1,1,0
92,Name92Source2,4/2/2011,2011,4,Q2,USA,Name92,USA,PRODUCT73,BRANCH2,GB,BROKER17,No,B,Yes,No,No,No,Industry92,LOB2,No,Source2,P1,L7,,9200,0,0,0,0,0,1,1,0
93,Name93Source3,4/3/2011,2011,4,Q2,GB,Name93,GB,PRODUCT74,BRANCH3,SGP,BROKER18,No,B,No,No,Yes,No,Industry93,LOB3,No,Source3,P2,,L8,9300,0,0,0,0,0,1,1,0
94,Name94Source1,4/4/2011,2011,4,Q2,CHN,Name94,CHN,PRODUCT75,BRANCH1,USA,BROKER19,Yes,A,Yes,No,Yes,No,Industry94,LOB4,Yes,Source1,P3,,,9400,0,0,0,0,0,1,1,0
95,Name95Source2,4/5/2011,2011,4,Q2,IRE,Name95,IRE,PRODUCT76,BRANCH2,GB,BROKER20,No,B,Yes,No,Yes,No,Industry95,LOB5,No,Source2,P4,,,9500,0,0,0,0,0,1,1,0
96,Name96Source3,4/6/2011,2011,4,Q2,SPN,Name96,SPN,,BRANCH3,SGP,BROKER21,No,B,No,Yes,No,Yes,Industry96,LOB6,No,Source3,P5,,,9600,0,0,0,0,0,1,1,0
97,Name97Source1,4/7/2011,2011,4,Q2,ITA,Name97,ITA,PRODUCT77,BRANCH1,USA,BROKER22,Yes,A,Yes,No,Yes,No,Industry97,LOB1,Yes,Source1,P6,,,9700,0,0,0,0,0,1,1,0
98,Name98Source2,4/8/2011,2011,4,Q2,GER,Name98,GER,PRODUCT78,BRANCH2,GB,BROKER23,No,B,Yes,No,Yes,No,Industry98,LOB2,No,Source2,P7,,,9800,0,0,0,0,0,1,1,0
99,Name99Source3,4/9/2011,2011,4,Q2,AUS,Name99,AUS,PRODUCT79,BRANCH3,SGP,BROKER24,No,B,No,No,Yes,No,Industry99,LOB3,No,Source3,P1,L8,,9900,0,0,0,0,0,1,1,0
100,Name100Source1,4/10/2011,2011,4,Q2,UAE,Name100,UAE,PRODUCT80,BRANCH1,USA,BROKER25,Yes,A,Yes,No,No,No,Industry100,LOB4,Yes,Source1,P2,,L9,10000,0,0,0,0,0,1,1,0
101,Name101Source2,4/11/2011,2011,4,Q2,SGP,Name101,SGP,,BRANCH2,GB,BROKER1,No,B,Yes,Yes,Yes,No,Industry101,LOB5,No,Source2,P3,,,10100,800,1,1,0,0.079207921,1,1,0
102,Name102Source3,4/12/2011,2011,4,Q2,MEX,Name102,MEX,PRODUCT81,BRANCH3,SGP,BROKER2,No,B,No,No,Yes,Yes,Industry102,LOB6,No,Source3,P4,,,10200,900,1,1,0,0.088235294,1,1,0
103,Name103Source1,4/13/2011,2011,4,Q2,CAN,Name103,CAN,PRODUCT82,BRANCH1,USA,BROKER3,Yes,A,Yes,No,Yes,No,Industry103,LOB1,Yes,Source1,P5,,,10300,1200,5,1,1,0.116504854,1,1,0
104,Name104Source2,4/14/2011,2011,4,Q2,FRA,Name104,FRA,PRODUCT83,BRANCH2,GB,BROKER4,No,B,Yes,No,No,No,Industry104,LOB2,No,Source2,P6,,,10400,40000,10,1,1,3.846153846,1,1,0
105,Name105Source3,4/15/2011,2011,4,Q2,USA,Name105,USA,PRODUCT84,BRANCH3,SGP,BROKER5,No,B,No,No,Yes,No,Industry105,LOB3,No,Source3,P7,,,10500,0,0,0,0,0,1,1,0
106,Name106Source1,4/16/2011,2011,4,Q2,GB,Name106,GB,,BRANCH1,USA,BROKER6,Yes,A,Yes,Yes,Yes,No,Industry106,LOB4,Yes,Source1,P1,L8,,10600,0,0,0,0,0,1,1,0
107,Name107Source2,4/17/2011,2011,4,Q2,CHN,Name107,CHN,PRODUCT85,BRANCH2,GB,BROKER7,No,B,Yes,No,Yes,No,Industry107,LOB5,No,Source2,P2,,L9,10700,0,0,0,0,0,1,1,0
108,Name108Source3,4/18/2011,2011,4,Q2,IRE,Name108,IRE,PRODUCT86,BRANCH3,SGP,BROKER8,No,B,No,No,No,Yes,Industry108,LOB6,No,Source3,P3,,,10800,0,0,0,0,0,1,1,0
109,Name109Source1,4/19/2011,2011,4,Q2,SPN,Name109,SPN,PRODUCT87,BRANCH1,USA,BROKER9,Yes,A,Yes,No,Yes,No,Industry109,LOB1,Yes,Source1,P4,,,10900,0,0,0,0,0,1,1,0
110,Name110Source2,4/20/2011,2011,4,Q2,ITA,Name110,ITA,PRODUCT88,BRANCH2,GB,BROKER10,No,B,Yes,No,Yes,No,Industry110,LOB2,No,Source2,P5,,,11000,0,0,0,0,0,1,1,0
111,Name111Source3,4/21/2011,2011,4,Q2,GER,Name111,GER,,BRANCH3,SGP,BROKER11,No,B,No,Yes,Yes,No,Industry111,LOB3,No,Source3,P6,,,11100,0,0,0,0,0,1,1,0
112,Name112Source1,4/22/2011,2011,4,Q2,AUS,Name112,AUS,PRODUCT89,BRANCH1,USA,BROKER12,Yes,A,Yes,No,No,No,Industry112,LOB4,Yes,Source1,P7,,,11200,0,0,0,0,0,1,1,0
113,Name113Source2,4/23/2011,2011,4,Q2,UAE,Name113,UAE,PRODUCT90,BRANCH2,GB,BROKER13,No,B,Yes,No,Yes,No,Industry113,LOB5,No,Source2,P1,L9,,11300,0,0,0,0,0,1,1,0
114,Name114Source3,4/24/2011,2011,4,Q2,SGP,Name114,SGP,PRODUCT91,BRANCH3,SGP,BROKER14,No,B,No,No,Yes,Yes,Industry114,LOB6,No,Source3,P2,,L10,11400,800,1,1,0,0.070175439,1,1,0
